"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FXR_CURRENCY","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_EUR.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in Euro","Shares","Annual","Units","17.8987905769332","18.292493005079","19.1838630645086","23.6501120285967","25.0329182368264","24.6797470282133","23.8898273226291","25.2394230055284","26.1304169814288","26.2145789931135","27.7047817422465","25.7620504615128","24.4496072307197","24.0723347941336","24.2141653081936","21.2136343636783","19.1478655198229","19.1382214612891","20.1681873371903","20.6743615961365","20.5884469103274","21.294045149673","20.592717307286","20.3712748453264","19.9452649915649","19.8307437733757"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_CNY.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in Chinese yuan renminbi","Shares","Annual","Units","","","","","","","","","","","","","","","","","","1.07839204936942","1.2331697156029","1.89335097522643","1.93704536577686","2.28921332250383","2.79892944643511","2.61249885576247","2.28915864272919","2.17640460767081"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_USD.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in US dollar","Shares","Annual","Units","71.0139314733965","71.13749894789","71.5180104132506","66.5012155497516","65.4498739669679","65.5072874753056","66.5151612341001","64.8706221371731","63.8761819123399","63.7652211427071","62.1542476338235","62.2471630942591","62.6989064538912","61.4971861445784","61.2768266454285","65.172772451152","65.7485815876911","65.3603120822643","62.7269933869566","61.7614647517059","60.7477164839534","58.9228776054494","58.7986620819862","58.5163257738241","58.4171035208567","57.8042285811013"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_GBP.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in Pound sterling","Shares","Annual","Units","2.88665858331864","2.75336674437061","2.70105480301857","2.92157654488105","2.86134619275654","3.49291508769702","3.74746832601781","4.49856701007138","4.82503245063143","4.21766838160668","4.25307544194509","3.94170871037588","3.83784298532461","4.04226384553275","3.98665646410905","3.70189357326328","4.7168400399058","4.34621827827916","4.54213215782132","4.42724129463188","4.63818084321752","4.73169615358127","4.80830659180024","4.89959234943019","4.86449645381716","4.72848488475465"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_CAD.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in Canadian dollar","Shares","Annual","Units","","","","","","","","","","","","","","1.42574293893278","1.82862740030797","1.75062372161484","1.77538715963477","1.93807023315762","2.02540852118299","1.83863730701558","1.86052513552742","2.07820825194292","2.38125804109163","2.38776454165672","2.58854177719932","2.77136280684666"
"IMF.STA:COFER(7.0.0)","G001.AFXRA.CI_JPY.SHRO_PT.A","OBS_VALUE","World","Allocated foreign exchange reserves","Claims in Japanese yen","Shares","Annual","Units","6.3737320025953","6.06547154475571","5.04461859457584","4.94114788426903","4.42369027540026","4.28412545322139","3.96016008185423","3.42533912541024","3.17863168283423","3.46749457715256","2.90238389959082","3.66314589997761","3.61352984280022","4.08907845239632","3.82401827591431","3.54543602644807","3.75431503673374","3.95300571905447","4.89686400967505","5.19200110102902","5.86876357975545","6.02935429199307","5.51970975953975","5.54193798608772","5.6899909445999","5.81519635025873"
